EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
RM297,18,18-25,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,1,405,Male,Laboratory Technician,3,Single,1420,Upto 5k,No,13,0,3,0
RM302,18,18-25,No,Travel_Rarely,Sales,10,3,Medical,1,411,Female,Sales Representative,3,Single,1200,Upto 5k,No,12,0,3,0
RM458,18,18-25,Yes,Travel_Frequently,Sales,5,3,Marketing,1,614,Male,Sales Representative,2,Single,1878,Upto 5k,Yes,14,0,3,0
RM728,18,18-25,No,Non-Travel,Research & Development,5,2,Life Sciences,1,1012,Male,Research Scientist,4,Single,1051,Upto 5k,No,15,0,3,0
RM829,18,18-25,Yes,Non-Travel,Research & Development,8,1,Medical,1,1156,Male,Laboratory Technician,3,Single,1904,Upto 5k,No,12,0,3,0
RM973,18,18-25,No,Non-Travel,Research & Development,1,3,Life Sciences,1,1368,Female,Laboratory Technician,4,Single,1611,Upto 5k,No,15,0,4,0
RM1154,18,18-25,Yes,Travel_Frequently,Sales,3,2,Medical,1,1624,Female,Sales Representative,4,Single,1569,Upto 5k,Yes,12,0,4,0
RM1312,18,18-25,No,Non-Travel,Research & Development,14,3,Medical,1,1839,Female,Research Scientist,3,Single,1514,Upto 5k,No,16,0,1,0
RM128,19,18-25,Yes,Travel_Rarely,Sales,22,1,Marketing,1,167,Male,Sales Representative,3,Single,1675,Upto 5k,Yes,19,0,2,0
RM150,19,18-25,No,Travel_Rarely,Research & Development,3,1,Medical,1,201,Female,Laboratory Technician,2,Single,1483,Upto 5k,No,14,1,3,1
RM172,19,18-25,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,235,Female,Sales Representative,1,Single,2325,Upto 5k,No,21,1,4,0
RM178,19,18-25,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,243,Male,Laboratory Technician,4,Single,1102,Upto 5k,No,22,1,2,1
RM423,19,18-25,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,566,Male,Human Resources,4,Single,2564,Upto 5k,No,12,1,4,1
RM689,19,18-25,Yes,Travel_Rarely,Sales,21,3,Other,1,959,Male,Sales Representative,2,Single,2121,Upto 5k,Yes,13,1,4,1
RM854,19,18-25,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,1193,Male,Research Scientist,1,Single,2552,Upto 5k,No,25,1,3,1
RM893,19,18-25,Yes,Non-Travel,Research & Development,10,3,Medical,1,1248,Female,Research Scientist,2,Single,1859,Upto 5k,Yes,25,1,4,1
RM910,19,18-25,No,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1269,Female,Research Scientist,4,Single,2994,Upto 5k,Yes,12,1,3,1
RM103,20,18-25,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,137,Female,Laboratory Technician,4,Single,2926,Upto 5k,Yes,18,1,3,1
RM488,20,18-25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,657,Female,Research Scientist,2,Single,2836,Upto 5k,No,13,1,4,1
RM514,20,18-25,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,701,Male,Research Scientist,3,Single,1009,Upto 5k,Yes,11,1,3,1
RM663,20,18-25,Yes,Travel_Rarely,Sales,2,3,Medical,1,922,Female,Sales Representative,3,Single,2044,Upto 5k,No,13,2,2,2
RM690,20,18-25,Yes,Travel_Rarely,Research & Development,4,3,Technical Degree,1,960,Male,Laboratory Technician,1,Single,2973,Upto 5k,No,19,1,3,1
RM732,20,18-25,Yes,Travel_Rarely,Research & Development,11,3,Medical,1,1016,Female,Research Scientist,1,Single,2600,Upto 5k,Yes,15,1,3,1
RM777,20,18-25,Yes,Travel_Frequently,Sales,9,3,Marketing,1,1077,Female,Sales Representative,4,Single,2323,Upto 5k,Yes,14,2,3,2
RM857,20,18-25,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1198,Male,Laboratory Technician,3,Single,3033,Upto 5k,No,12,2,2,2
RM877,20,18-25,No,Travel_Rarely,Sales,21,3,Marketing,1,1226,Male,Sales Representative,4,Single,2678,Upto 5k,No,17,2,3,2
RM1179,20,18-25,No,Travel_Rarely,Sales,2,3,Medical,1,1657,Female,Sales Representative,3,Single,2783,Upto 5k,No,19,2,3,2
RM1198,20,18-25,No,Travel_Rarely,Sales,9,1,Life Sciences,1,1680,Male,Sales Representative,1,Single,2728,Upto 5k,No,11,2,3,2
RM024,21,18-25,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,30,Male,Research Scientist,4,Single,1232,Upto 5k,No,14,0,3,0
RM275,21,18-25,No,Travel_Rarely,Research & Development,3,2,Medical,1,379,Male,Research Scientist,3,Single,3230,Upto 5k,No,17,3,4,3
